neighborhood,numPlaygrounds,numFields,numTrees,numTrees Scaled,total
Allegheny Center,4,2,867,21,27
Allegheny West,,,386,9,9
Allentown,1,1,84,2,4
Arlington,,1,107,2,3
Arlington Heights,,,5,0,0
Banksville,1,2,437,10,13
Bedford Dwellings,1,2,198,4,7
Beechview,5,3,611,15,23
Beltzhoover,4,3,170,4,11
Bloomfield,1,,1432,35,36
Bluff,1,,222,5,6
Bon Air,1,,92,2,3
Brighton Heights,2,7,910,22,31
Brookline,2,6,853,21,29
California-Kirkbride,,,94,2,2
Carrick,3,5,772,19,27
Central Business District,,,1002,25,25
Central Lawrenceville,1,2,713,17,20
Central Northside,2,,674,16,18
Central Oakland,1,1,368,9,11
Chartiers City,,,37,0,0
Chateau,,,276,6,6
Crafton Heights,2,2,368,9,13
Crawford-Roberts,3,,568,14,17
Duquesne Heights,1,,101,2,3
East Allegheny,,,389,9,9
East Carnegie,1,,8,0,1
East Hills,,1,483,12,13
East Liberty,3,1,1366,34,38
Elliott,3,2,170,4,9
Esplen,1,,3,0,1
Fairywood,1,,31,0,1
Fineview,1,1,90,2,4
Friendship,,,361,9,9
Garfield,2,1,626,15,18
Glen Hazel,,,2,0,0
Greenfield,2,2,745,18,22
Hays,1,,1,0,1
Hazelwood,3,4,652,16,23
Highland Park,4,4,2936,73,81
Homewood North,1,,403,10,11
Homewood South,2,1,459,11,14
Homewood West,,,92,2,2
Knoxville,,,432,10,10
Larimer,1,1,306,7,9
Lincoln Place,2,1,263,6,9
Lincoln-Lemington-Belmar,2,2,525,13,17
Lower Lawrenceville,1,4,508,12,17
Manchester,2,2,707,17,21
Marshall-Shadeland,2,1,488,12,15
Middle Hill,1,,341,8,9
Morningside,2,3,460,11,16
Mount Washington,3,3,874,21,27
Mt. Oliver,,,13,0,0
New Homestead,1,,183,4,5
North Oakland,,,775,19,19
North Shore,,,457,11,11
Northview Heights,,,6,0,0
Oakwood,1,1,92,2,4
Overbrook,,,275,6,6
Perry North,1,2,1007,25,28
Perry South,1,1,367,9,11
Point Breeze,,,1316,32,32
Point Breeze North,1,,566,14,15
Polish Hill,1,1,265,6,8
Regent Square,1,2,434,10,13
Ridgemont,,,31,0,0
Shadyside,1,3,1558,38,42
Sheraden,4,3,375,9,16
South Oakland,3,2,234,5,10
South Shore,,,2,0,0
South Side Flats,2,2,1693,42,46
South Side Slopes,5,6,233,5,16
Spring Garden,1,1,55,1,3
Spring Hill-City View,1,2,114,2,5
Squirrel Hill North,1,1,2083,52,54
Squirrel Hill South,8,5,5073,126,139
St. Clair,,,12,0,0
Stanton Heights,1,1,696,17,19
Strip District,1,,486,12,13
Summer Hill,,,79,1,1
Swisshelm Park,1,,245,6,7
Terrace Village,1,1,261,6,8
Troy Hill,2,3,217,5,10
Upper Hill,1,,179,4,5
Upper Lawrenceville,3,1,373,9,13
West End,1,1,131,3,5
West Oakland,1,,78,1,2
Westwood,1,2,260,6,9
Windgap,1,1,117,2,4
