Neighborhood,Fields
Allegheny Center,2
Allentown,1
Arlington,1
Banksville,2
Bedford Dwellings,2
Beechview,3
Beltzhoover,3
Brighton Heights,7
Brookline,6
Carrick,5
Central Lawrenceville,2
Central Oakland,1
Crafton Hills,2
East Hills,1
East Liberty,1
Elliot,2
Fineview,1
Garfield,1
Greenfield,2
Hazelwood,4
Highland Park,4
Homewood South,1
Larimer,1
Lincoln-Lemington-Belmar,2
Lincoln Place,1
Lower Lawrenceville,4
Manchester,2
Marshall-Shadeland,1
Morningside,3
Mount Washington,3
Oakwood,1
Perry North,2
Perry South,1
Polish Hill,1
Regent Square,2
Shadyside,3
Sheraden,3
South Oakland,2
Southside Flats,2
Southside Slopes,6
Spring Garden,1
Spring Hill-City View,2
Squirell Hill North,1
Squirell Hill South,5
Stanton Heights,1
Terrace Village,1
Troy Hill,3
Upper Lawrenceville,1
West End,1
Westwood,2
Windgap,1
